"","time","Flow_intake"
"1",2024-10-03 15:00:00,999
"2",2024-10-03 16:00:00,999
"3",2024-10-03 17:00:00,999
"4",2024-10-03 18:00:00,999
"5",2024-10-03 19:00:00,999
"6",2024-10-03 20:00:00,999
"7",2024-10-03 21:00:00,999
"8",2024-10-03 22:00:00,999
"9",2024-10-03 23:00:00,999
"10",2024-10-04,999
"11",2024-10-04 01:00:00,999
"12",2024-10-04 02:00:00,999
"13",2024-10-04 03:00:00,999
"14",2024-10-04 04:00:00,999
"15",2024-10-04 05:00:00,999
"16",2024-10-04 06:00:00,999
"17",2024-10-04 07:00:00,999
"18",2024-10-04 08:00:00,999
"19",2024-10-04 09:00:00,999
"20",2024-10-04 10:00:00,999
"21",2024-10-04 11:00:00,999
"22",2024-10-04 12:00:00,999
"23",2024-10-04 13:00:00,999
"24",2024-10-04 14:00:00,999
"25",2024-10-04 15:00:00,999
"26",2024-10-04 16:00:00,999
"27",2024-10-04 17:00:00,999
"28",2024-10-04 18:00:00,999
"29",2024-10-04 19:00:00,999
"30",2024-10-04 20:00:00,999
"31",2024-10-04 21:00:00,999
"32",2024-10-04 22:00:00,999
"33",2024-10-04 23:00:00,999
"34",2024-10-05,999
"35",2024-10-05 01:00:00,999
"36",2024-10-05 02:00:00,999
"37",2024-10-05 03:00:00,999
"38",2024-10-05 04:00:00,999
"39",2024-10-05 05:00:00,999
"40",2024-10-05 06:00:00,999
"41",2024-10-05 07:00:00,999
"42",2024-10-05 08:00:00,999
"43",2024-10-05 09:00:00,999
"44",2024-10-05 10:00:00,999
"45",2024-10-05 11:00:00,999
"46",2024-10-05 12:00:00,999
"47",2024-10-05 13:00:00,999
"48",2024-10-05 14:00:00,999
"49",2024-10-05 15:00:00,999
"50",2024-10-05 16:00:00,999
"51",2024-10-05 17:00:00,999
"52",2024-10-05 18:00:00,999
"53",2024-10-05 19:00:00,999
"54",2024-10-05 20:00:00,999
"55",2024-10-05 21:00:00,999
"56",2024-10-05 22:00:00,999
"57",2024-10-05 23:00:00,999
"58",2024-10-06,999
"59",2024-10-06 01:00:00,999
"60",2024-10-06 02:00:00,999
"61",2024-10-06 03:00:00,999
"62",2024-10-06 04:00:00,999
"63",2024-10-06 05:00:00,999
"64",2024-10-06 06:00:00,999
"65",2024-10-06 07:00:00,999
"66",2024-10-06 08:00:00,999
"67",2024-10-06 09:00:00,999
"68",2024-10-06 10:00:00,999
"69",2024-10-06 11:00:00,999
"70",2024-10-06 12:00:00,999
"71",2024-10-06 13:00:00,999
"72",2024-10-06 14:00:00,999
"73",2024-10-06 15:00:00,999
"74",2024-10-06 16:00:00,999
"75",2024-10-06 17:00:00,999
"76",2024-10-06 18:00:00,999
"77",2024-10-06 19:00:00,999
"78",2024-10-06 20:00:00,999
"79",2024-10-06 21:00:00,999
"80",2024-10-06 22:00:00,999
"81",2024-10-06 23:00:00,999
"82",2024-10-07,999
"83",2024-10-07 01:00:00,999
"84",2024-10-07 02:00:00,999
"85",2024-10-07 03:00:00,999
"86",2024-10-07 04:00:00,999
"87",2024-10-07 05:00:00,999
"88",2024-10-07 06:00:00,999
"89",2024-10-07 07:00:00,999
"90",2024-10-07 08:00:00,999
"91",2024-10-07 09:00:00,999
