"","time","Conductivity_S_m"
"1",2024-10-03 15:00:00,0.020501
"2",2024-10-03 16:00:00,0.020699
"3",2024-10-03 17:00:00,0.020699
"4",2024-10-03 18:00:00,0.020798
"5",2024-10-03 19:00:00,0.020798
"6",2024-10-03 20:00:00,0.020897
"7",2024-10-03 21:00:00,0.020897
"8",2024-10-03 22:00:00,0.020897
"9",2024-10-03 23:00:00,0.020897
"10",2024-10-04,0.020798
"11",2024-10-04 01:00:00,0.020699
"12",2024-10-04 02:00:00,0.020699
"13",2024-10-04 03:00:00,0.0206
"14",2024-10-04 04:00:00,0.0206
"15",2024-10-04 05:00:00,0.020501
"16",2024-10-04 06:00:00,0.020501
"17",2024-10-04 07:00:00,0.020501
"18",2024-10-04 08:00:00,0.020501
"19",2024-10-04 09:00:00,0.020501
"20",2024-10-04 10:00:00,0.020501
"21",2024-10-04 11:00:00,0.020501
"22",2024-10-04 12:00:00,0.020501
"23",2024-10-04 13:00:00,0.0204350065617249
"24",2024-10-04 14:00:00,0.020402
"25",2024-10-04 15:00:00,0.020402
"26",2024-10-04 16:00:00,0.020402
"27",2024-10-04 17:00:00,0.020402
"28",2024-10-04 18:00:00,0.020402
"29",2024-10-04 19:00:00,4.07540850923128
"30",2024-10-04 20:00:00,4.08358735967085
"31",2024-10-04 21:00:00,4.09555627132284
"32",2024-10-04 22:00:00,4.11467249860201
"33",2024-10-04 23:00:00,4.13285589331662
"34",2024-10-05,4.14402632149274
"35",2024-10-05 01:00:00,4.19190818463781
"36",2024-10-05 02:00:00,4.27904374518802
"37",2024-10-05 03:00:00,4.15514949969603
"38",2024-10-05 04:00:00,4.19676605300972
"39",2024-10-05 05:00:00,4.45545003161078
"40",2024-10-05 06:00:00,4.63544391305151
"41",2024-10-05 07:00:00,4.68913526125654
"42",2024-10-05 08:00:00,4.587064
"43",2024-10-05 09:00:00,4.45423724825303
"44",2024-10-05 10:00:00,4.437806
"45",2024-10-05 11:00:00,4.44036444898064
"46",2024-10-05 12:00:00,4.51613446357672
"47",2024-10-05 13:00:00,4.40797555963458
"48",2024-10-05 14:00:00,4.50052984147945
"49",2024-10-05 15:00:00,4.42222292563691
"50",2024-10-05 16:00:00,4.520661
"51",2024-10-05 17:00:00,4.62533345913256
"52",2024-10-05 18:00:00,4.35085120948445
"53",2024-10-05 19:00:00,4.35500683300385
"54",2024-10-05 20:00:00,4.358061
"55",2024-10-05 21:00:00,4.36890438707719
"56",2024-10-05 22:00:00,4.3468432845166
"57",2024-10-05 23:00:00,4.32211057220165
"58",2024-10-06,4.07264654051776
"59",2024-10-06 01:00:00,3.96924641548338
"60",2024-10-06 02:00:00,3.97287762452542
"61",2024-10-06 03:00:00,4.07252376027169
"62",2024-10-06 04:00:00,4.29565905221047
"63",2024-10-06 05:00:00,4.29885176430568
"64",2024-10-06 06:00:00,4.32357752790642
"65",2024-10-06 07:00:00,4.32581283087782
"66",2024-10-06 08:00:00,4.343097
