"","time","O2Concentration_ml_L"
"1",2024-10-03 15:00:00,6.40605604972684
"2",2024-10-03 16:00:00,6.41271904777955
"3",2024-10-03 17:00:00,6.3721576737253
"4",2024-10-03 18:00:00,6.28965952332135
"5",2024-10-03 19:00:00,6.25526679961829
"6",2024-10-03 20:00:00,6.24045494872033
"7",2024-10-03 21:00:00,6.23870338745718
"8",2024-10-03 22:00:00,6.26062193663858
"9",2024-10-03 23:00:00,6.30536045170134
"10",2024-10-04,6.32904779307598
"11",2024-10-04 01:00:00,6.34741405046766
"12",2024-10-04 02:00:00,6.38572173652023
"13",2024-10-04 03:00:00,6.37882871680867
"14",2024-10-04 04:00:00,6.39618234567959
"15",2024-10-04 05:00:00,6.39495331321713
"16",2024-10-04 06:00:00,6.38392667907339
"17",2024-10-04 07:00:00,6.38666524079966
"18",2024-10-04 08:00:00,6.37750908239229
"19",2024-10-04 09:00:00,6.38343838589566
"20",2024-10-04 10:00:00,6.37928355821735
"21",2024-10-04 11:00:00,6.38551301778464
"22",2024-10-04 12:00:00,6.37368526720199
"23",2024-10-04 13:00:00,6.38523011877338
"24",2024-10-04 14:00:00,6.37385048655456
"25",2024-10-04 15:00:00,6.37171349275282
"26",2024-10-04 16:00:00,6.968341944108
"27",2024-10-04 17:00:00,4.88506324854482
"28",2024-10-04 18:00:00,6.30995856042248
"29",2024-10-04 19:00:00,5.13904503326227
"30",2024-10-04 20:00:00,5.13592917816465
"31",2024-10-04 21:00:00,5.13224241699149
"32",2024-10-04 22:00:00,5.11586571826009
"33",2024-10-04 23:00:00,5.09512969275502
"34",2024-10-05,5.07564516402729
"35",2024-10-05 01:00:00,5.07089961681775
"36",2024-10-05 02:00:00,5.02483595546343
"37",2024-10-05 03:00:00,5.11225884973988
"38",2024-10-05 04:00:00,5.04759538934891
"39",2024-10-05 05:00:00,4.89226815127046
"40",2024-10-05 06:00:00,4.74263127915996
"41",2024-10-05 07:00:00,4.69024864029345
"42",2024-10-05 08:00:00,4.76728503304622
"43",2024-10-05 09:00:00,4.82672356636008
"44",2024-10-05 10:00:00,4.82578436981284
"45",2024-10-05 11:00:00,4.82216425218448
"46",2024-10-05 12:00:00,4.77930521680397
"47",2024-10-05 13:00:00,4.84757358834028
"48",2024-10-05 14:00:00,4.82212520974043
"49",2024-10-05 15:00:00,4.86253630051025
"50",2024-10-05 16:00:00,4.77529021704922
"51",2024-10-05 17:00:00,4.73308786066304
"52",2024-10-05 18:00:00,4.90285615614073
"53",2024-10-05 19:00:00,4.89744755572204
"54",2024-10-05 20:00:00,4.91400168049271
"55",2024-10-05 21:00:00,4.91092467442863
"56",2024-10-05 22:00:00,4.93678304945608
"57",2024-10-05 23:00:00,4.96598137662444
"58",2024-10-06,7.58747907011918
"59",2024-10-06 01:00:00,3.02552838506202
"60",2024-10-06 02:00:00,3.16698249058768
"61",2024-10-06 03:00:00,4.65165621612623
"62",2024-10-06 04:00:00,13.0405874102616
"63",2024-10-06 05:00:00,5.29210966287162
"64",2024-10-06 06:00:00,8.17265876807699
"65",2024-10-06 07:00:00,5.12528488249837
"66",2024-10-06 08:00:00,1.50885886615006
"67",2024-10-06 09:00:00,3.5572871328941
"68",2024-10-06 10:00:00,4.5563027988756
"69",2024-10-06 11:00:00,12.5814601316244
"70",2024-10-06 12:00:00,3.61466387471723
"71",2024-10-06 13:00:00,3.5683201488802
"72",2024-10-06 14:00:00,3.13306052861711
"73",2024-10-06 15:00:00,2.69780090835402
"74",2024-10-06 16:00:00,2.26254128809093
"75",2024-10-06 17:00:00,5.07059516560793
"76",2024-10-06 18:00:00,10.1230269189628
"77",2024-10-06 19:00:00,6.31371658286895
"78",2024-10-06 20:00:00,9.24145799739336
